机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,保荐机构.1,文件链接
艾艾精密工业输送系统（上海）,预先披露更新,主板企业,上海,长江证券承销保荐有限公司,王海涛&sbquo;张新杨,北京市海润律师事务所,吴团结&sbquo;姚方方,大华会计师事务所(特殊普通合伙),王书阁&sbquo;李东昕,是,橡胶和塑料制品业,2017/1/5,80365240,AN201705100569516782,长江证券承销保荐有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201705100569516782_1.pdf
艾艾精密工业输送系统（上海）,已通过发审会,主板企业,上海,长江证券承销保荐有限公司,王海涛&sbquo;张新杨,北京市海润律师事务所,吴团结&sbquo;姚方方,大华会计师事务所(特殊普通合伙),王书阁&sbquo;李东昕,是,橡胶和塑料制品业,2017/4/27,80365240,AN201705100569516782,长江证券承销保荐有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201705100569516782_1.pdf
爱柯迪,已受理,主板企业,宁波,国金证券股份有限公司,吴小鸣&sbquo;谭军,通力律师事务所,翁晓健&sbquo;李仲英,瑞华会计师事务所(特殊普通合伙),杨峰安&sbquo;任明果,否,汽车制造业,2017/1/5,80452535,AN201711051015446277,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711051015446277_1.pdf
爱柯迪,已反馈,主板企业,宁波,国金证券股份有限公司,吴小鸣&sbquo;谭军,通力律师事务所,翁晓健&sbquo;李仲英,瑞华会计师事务所(特殊普通合伙),杨峰安&sbquo;任明果,是,汽车制造业,2017/6/8,80452535,AN201711051015446277,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711051015446277_1.pdf
爱柯迪,预先披露更新,主板企业,宁波,国金证券股份有限公司,吴小鸣&sbquo;谭军,通力律师事务所,翁晓健&sbquo;李仲英,瑞华会计师事务所(特殊普通合伙),杨峰安&sbquo;任明果,是,汽车制造业,2017/9/21,80452535,AN201711051015446277,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711051015446277_1.pdf
爱柯迪,已通过发审会,主板企业,宁波,国金证券股份有限公司,吴小鸣&sbquo;谭军,通力律师事务所,翁晓健&sbquo;李仲英,瑞华会计师事务所(特殊普通合伙),杨峰安&sbquo;任明果,是,汽车制造业,2017/9/28,80452535,AN201711051015446277,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711051015446277_1.pdf
爱玛科技集团,已受理,主板企业,天津,中信证券股份有限公司,栾培强&sbquo;秦国安,北京海润天睿律师事务所,杨雪&sbquo;王彩虹&sbquo;李爱清,安永华明会计师事务所(特殊普通合伙),张炯&sbquo;曹绮冰,否,铁路、船舶、航空航天和其他运输设备制造业,2018/6/28,80922526,AN201909051349082580,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
爱玛科技集团,已反馈,主板企业,天津,中信证券股份有限公司,栾培强&sbquo;秦国安,北京海润天睿律师事务所,杨雪&sbquo;王彩虹&sbquo;李爱清,安永华明会计师事务所(特殊普通合伙),张炯&sbquo;曹绮冰,否,铁路、船舶、航空航天和其他运输设备制造业,2018/9/6,80922526,AN201909051349082580,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
爱玛科技集团,预先披露更新,主板企业,,中信证券股份有限公司,,北京海润天睿律师事务所,,安永华明会计师事务所(特殊普通合伙),,是,,2019/9/5,80922526,AN201909051349082580,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
爱玛科技集团,已通过发审会,主板企业,,中信证券股份有限公司,,北京海润天睿律师事务所,,安永华明会计师事务所(特殊普通合伙),,是,,2020/11/26,80922526,AN201909051349082580,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
