机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
万代服装,已受理,中小板,,中天国富证券有限公司,,北京市中伦律师事务所,,立信会计师事务所(特殊普通合伙),,否,,2019/6/27,80994995,AN202004171378193489,wdfz,https://notice.eastmoney.com/pdffile/web/H2_AN202004171378193489_1.pdf
万代服装,已反馈,中小板,,中天国富证券有限公司,,北京市中伦律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2019/10/11,80994995,AN202004171378193489,wdfz,https://notice.eastmoney.com/pdffile/web/H2_AN202004171378193489_1.pdf
万代服装,预先披露更新,中小板,,中天国富证券有限公司,,北京市中伦律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2020/10/15,80994995,AN202004171378193489,wdfz,https://notice.eastmoney.com/pdffile/web/H2_AN202004171378193489_1.pdf
万联证券,已受理,主板企业,,瑞银证券有限责任公司,,北京市金杜律师事务所,,德勤华永会计师事务所(特殊普通合伙),,是,,2019/7/11,80000187,AN201907051337802899,wlzq,https://notice.eastmoney.com/pdffile/web/H2_AN201907051337802899_1.pdf
万联证券,已反馈,主板企业,,瑞银证券有限责任公司,,北京市金杜律师事务所,,德勤华永会计师事务所(特殊普通合伙),,是,,2019/10/11,80000187,AN201907051337802899,wlzq,https://notice.eastmoney.com/pdffile/web/H2_AN201907051337802899_1.pdf
三人行传媒集团,已受理,主板企业,,兴业证券股份有限公司,,北京市中伦律师事务所,,立信会计师事务所(特殊普通合伙),,否,,2019/4/25,80403423,AN202004231378441196,srxcmjt,https://notice.eastmoney.com/pdffile/web/H2_AN202004231378441196_1.pdf
三人行传媒集团,已反馈,主板企业,,兴业证券股份有限公司,,北京市中伦律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2019/10/11,80403423,AN202004231378441196,srxcmjt*,https://notice.eastmoney.com/pdffile/web/H2_AN202004231378441196_1.pdf
三人行传媒集团,预先披露更新,主板企业,,兴业证券股份有限公司,,北京市中伦律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2019/10/17,80403423,AN202004231378441196,srxcmjt*,https://notice.eastmoney.com/pdffile/web/H2_AN202004231378441196_1.pdf
三人行传媒集团,已通过发审会,主板企业,,兴业证券股份有限公司,,北京市中伦律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2020/3/12,80403423,AN202004231378441196,srxcmjt*,https://notice.eastmoney.com/pdffile/web/H2_AN202004231378441196_1.pdf
三羊马（重庆）物流,已受理,中小板,,申港证券股份有限公司,,重庆永和律师事务所,,天健会计师事务所(特殊普通合伙),,否,,2020/12/10,80495161,AN202012091438271413,symzqwl*,https://notice.eastmoney.com/pdffile/web/H2_AN202012091438271413_1.pdf
三羊马（重庆）物流,已反馈,中小板,,申港证券股份有限公司,,重庆永和律师事务所,,天健会计师事务所(特殊普通合伙),,是,,2021/1/14,80495161,AN202012091438271413,symzqwl*,https://notice.eastmoney.com/pdffile/web/H2_AN202012091438271413_1.pdf
三达膜环境技术,预先披露更新,主板企业,厦门,第一创业摩根大通证券有限责任公司,王晓丹&sbquo;罗浩,国浩律师(上海)事务所,吴小亮&sbquo;周一杰,致同会计师事务所(特殊普通合伙),刘维&sbquo;张慧玲,是,生态保护和环境治理业,2017/1/12,80357630,AN201911111370641410,sdmhjjs,https://notice.eastmoney.com/pdffile/web/H2_AN201911111370641410_1.pdf
三达膜环境技术,中止审查,主板企业,厦门,第一创业摩根大通证券有限责任公司,王晓丹&sbquo;罗浩,国浩律师(上海)事务所,吴小亮&sbquo;周一杰,致同会计师事务所(特殊普通合伙),刘维&sbquo;张慧玲,是,生态保护和环境治理业,2017/10/12,80357630,AN201911111370641410,sdmhjjs,https://notice.eastmoney.com/pdffile/web/H2_AN201911111370641410_1.pdf
上海中谷物流,已受理,主板企业,,中国国际金融股份有限公司,,北京植德律师事务所,,致同会计师事务所(特殊普通合伙),,否,,2019/4/11,80468163,AN202008251401159122,shzgwl,https://notice.eastmoney.com/pdffile/web/H2_AN202008251401159122_1.pdf
上海中谷物流,已反馈,主板企业,,中国国际金融股份有限公司,,北京植德律师事务所,,致同会计师事务所(特殊普通合伙),,是,,2019/10/11,80468163,AN202008251401159122,shzgwl,https://notice.eastmoney.com/pdffile/web/H2_AN202008251401159122_1.pdf
上海中谷物流,预先披露更新,主板企业,,中国国际金融股份有限公司,,北京植德律师事务所,,容诚会计师事务所(特殊普通合伙),,是,,2020/4/23,80468163,AN202008251401159122,shzgwl,https://notice.eastmoney.com/pdffile/web/H2_AN202008251401159122_1.pdf
上海中谷物流,已通过发审会,主板企业,,中国国际金融股份有限公司,,北京植德律师事务所,,容诚会计师事务所(特殊普通合伙),,是,,2020/7/23,80468163,AN202008251401159122,shzgwl,https://notice.eastmoney.com/pdffile/web/H2_AN202008251401159122_1.pdf
上海中饮食品集团,已受理,主板企业,,国元证券股份有限公司,,上海市通力律师事务所,,华普天健会计师事务所(特殊普通合伙),,否,,2019/6/20,80994713,AN202009221415818925,shzyspjt,https://notice.eastmoney.com/pdffile/web/H2_AN202009221415818925_1.pdf
上海丽人丽妆化妆品,已受理,主板企业,上海,中信证券股份有限公司,孙洋&sbquo;王建文,上海市方达律师事务所,楼伟亮&sbquo;刘一苇&sbquo;邱晨盛&sbquo;刘植,普华永道中天会计师事务所(特殊普通合伙),高建斌&sbquo;王瑾,否,零售业,2017/1/12,80532667,AN202009161413139475,shlrlzhzp,https://notice.eastmoney.com/pdffile/web/H2_AN202009161413139475_1.pdf
