机构名称,当前状态,上市地点,拟发行数量,申报日期,上会日期,申购日期,上市日期,主承销商,承销方式,9,发行前总股本,发行后总股本,13,占发行后总股本比例,发审委委员,网站,公司代码,yyy,时间戳,简称,详情链接,文件链接
洛阳涧光特种装备,未上会,上交所,22733300,2021/1/22,,,,东方证券,余额包销,1,68200000,90933300,1020000000,0.25,,,80442747,213266,AN202101221453218292,涧光股份,data.eastmoney.com/xg/gh/detail/80442747.html,https://notice.eastmoney.com/pdffile/web/H2_AN202101221453218292_1.pdf
宁波德昌电机,未上会,上交所,50000000,2021/1/22,,,,中信证券,余额包销,1,139980000,189980000,1281687700,0.26319,,,80604055,213274,AN202101221453217670,德昌股份,data.eastmoney.com/xg/gh/detail/80604055.html,https://notice.eastmoney.com/pdffile/web/H2_AN202101221453217670_1.pdf
宁波大叶园林工业,未上会,上交所,36733400,2021/1/22,,,,国泰君安证券,余额包销,1,110200000,146933400,721860400,0.25,,,81043506,213270,AN202101221453217671,大叶工业,data.eastmoney.com/xg/gh/detail/81043506.html,https://notice.eastmoney.com/pdffile/web/H2_AN202101221453217671_1.pdf
绿田机械,未上会,上交所,22000000,2021/1/20,,,,长江证券,余额包销,1,66000000,88000000,536588400,0.25,,,80994706,213171,AN202101201452481085,绿田机械,data.eastmoney.com/xg/gh/detail/80994706.html,https://notice.eastmoney.com/pdffile/web/H2_AN202101201452481085_1.pdf
上海港湾基础建设（集团）,未上会,上交所,43200000,2021/1/20,,,,中原证券,余额包销,1,129550000,172750000,918578200,0.25007,,,81022690,213277,AN202101201452507911,上海港湾,data.eastmoney.com/xg/gh/detail/81022690.html,https://notice.eastmoney.com/pdffile/web/H2_AN202101201452507911_1.pdf
北京菜市口百货,未上会,上交所,77777800,2021/1/19,,,,中信证券,余额包销,1,700000000,777777800,1250073200,0.1,,,80172115,213841,AN202101191452142240,菜百股份,data.eastmoney.com/xg/gh/detail/80172115.html,https://notice.eastmoney.com/pdffile/web/H2_AN202101191452142240_1.pdf
大通（福建）新材料,未上会,上交所,136670000,2021/1/14,,,,中信证券,余额包销,1,410000000,546670000,599477700,0.25,,,80063156,213398,AN202101141450563909,大通新材,data.eastmoney.com/xg/gh/detail/80063156.html,https://notice.eastmoney.com/pdffile/web/H2_AN202101141450563909_1.pdf
海程邦达供应链管理,未上会,上交所,51310000,2021/1/14,,,,华林证券,余额包销,1,153925237,205235237,602037600,0.25001,,,81001420,213259,AN202101141450563910,海程邦达,data.eastmoney.com/xg/gh/detail/81001420.html,https://notice.eastmoney.com/pdffile/web/H2_AN202101141450563910_1.pdf
铜陵有色金属集团铜冠矿山建设,未上会,上交所,50000000,2021/1/13,,,,天风证券,余额包销,1,150000000,200000000,440000000,0.25,,,81018560,213276,AN202101131450238816,铜冠矿建,data.eastmoney.com/xg/gh/detail/81018560.html,https://notice.eastmoney.com/pdffile/web/H2_AN202101131450238816_1.pdf
恒盛能源,未上会,上交所,50000000,2021/1/12,,,,申万宏源证券,余额包销,1,150000000,200000000,364250000,0.25,,,80636557,213267,AN202101121449911168,恒盛能源,data.eastmoney.com/xg/gh/detail/80636557.html,https://notice.eastmoney.com/pdffile/web/H2_AN202101121449911168_1.pdf
浙江盛泰服装集团,未上会,上交所,56000000,2021/1/12,,,,中信证券,余额包销,1,500000000,556000000,695001100,0.10072,,,80994742,213268,AN202101121449911169,盛泰集团,data.eastmoney.com/xg/gh/detail/80994742.html,https://notice.eastmoney.com/pdffile/web/H2_AN202101121449911169_1.pdf
