机构名称,决定终止审查时间
唐山曹妃甸木业股份有限公司,2021/1/20
深圳港创建材股份有限公司,2021/1/20
四川菊乐食品股份有限公司,2020/9/14
明冠新材料股份有限公司,2020/1/17
广东粤海饲料集团股份有限公司,2020/1/17
青岛百洋医药股份有限公司,2020/2/28
金辉集团股份有限公司,2020/4/13
科迈化工股份有限公司,2020/6/12
北京城建设计发展集团股份有限公司,2020/6/12
广州富力地产股份有限公司,2020/7/9
惠州迪芬尼声学科技股份有限公司,2020/7/9
上海漫道金融信息服务股份有限公司,2020/8/3
弘业期货股份有限公司,2020/8/17
江阴标榜汽车部件股份有限公司,2020/8/17
上海米哈游网络科技股份有限公司,2020/9/9
新宇药业股份有限公司,2020/10/9
烟台招金励福贵金属股份有限公司,2020/10/13
杭州西子智能停车股份有限公司,2020/10/21
广西凤翔集团股份有限公司,2020/12/8
江苏中法水务股份有限公司,2020/12/23
深圳中华自行车(集团)股份有限公司,2020/12/24
深圳市建艺装饰集团股份有限公司,2020/9/29
深圳市穗晶光电股份有限公司,2020/7/29
沈阳麟龙科技股份有限公司,2020/1/17
北京诺禾致源科技股份有限公司,2020/2/28
深圳掌众智能科技股份有限公司,2020/3/25
青岛森麒麟轮胎股份有限公司,2019/1/16
熊猫乳品集团股份有限公司,2019/1/17
铁将军汽车电子股份有限公司,2019/1/23
句容宁武新材料股份有限公司,2019/1/31
北京华航唯实机器人科技股份有限公司,2019/1/31
赫基(中国)集团股份有限公司,2019/2/12
江西九丰能源股份有限公司,2019/2/26
天聚地合(苏州)数据股份有限公司,2019/3/5
南京优科生物医药集团股份有限公司,2019/3/19
江西国科军工集团股份有限公司,2019/4/9
浙江杭可科技股份有限公司,2019/4/9
赛特威尔电子股份有限公司,2019/4/10
麒麟合盛网络技术股份有限公司,2019/4/16
航天精工股份有限公司,2019/4/23
北京金山办公软件股份有限公司,2019/4/29
漱玉平民大药房连锁股份有限公司,2019/5/28
南亚新材料科技股份有限公司,2019/5/28
广东趣炫网络股份有限公司,2019/6/4
浙江才府玻璃股份有限公司,2019/6/14
广东景兴健康护理实业股份有限公司,2019/6/14
小狗电器互联网科技(北京)股份有限公司,2019/7/15
新中冠智能科技股份有限公司,2019/7/15
中荣印刷集团股份有限公司,2019/7/15
北京华科泰生物技术股份有限公司,2019/7/22
四川君逸数码科技股份有限公司,2019/7/22
惠州仁信新材料股份有限公司,2019/7/22
城市纵横(上海)文化传媒股份有限公司,2019/7/25
常州祥明智能动力股份有限公司,2019/7/25
厦门雅迅网络股份有限公司,2019/8/5
北京华清飞扬网络股份有限公司,2019/8/13
浙江天使之泪珍珠股份有限公司,2019/8/13
洛阳中超新材料股份有限公司,2019/8/13
浙江德斯泰新材料股份有限公司,2019/8/13
苏州金宏气体股份有限公司,2019/8/16
九圣禾种业股份有限公司,2019/8/16
小米集团,2019/8/26
南通国盛智能科技集团股份有限公司,2019/8/26
杭州康基医疗器械股份有限公司,2019/8/26
珠海市杰理科技股份有限公司,2019/9/2
北京市博汇科技股份有限公司,2019/9/2
苏州新锐合金工具股份有限公司,2019/9/2
杭州品茗安控信息技术股份有限公司,2019/9/9
北京流金岁月文化传播股份有限公司,2019/9/16
青岛双鲸药业股份有限公司,2019/9/16
杭州奥泰生物技术股份有限公司,2019/9/16
苏州星诺奇科技股份有限公司,2019/9/16
苏州艾隆科技股份有限公司,2019/9/16
四三九九网络股份有限公司,2019/9/19
深圳市豪恩声学股份有限公司,2019/9/19
扬州日兴生物科技股份有限公司,2019/9/19
江西绿巨人生态环境股份有限公司,2019/9/19
河南润弘制药股份有限公司,2019/9/19
北京维冠机电股份有限公司,2019/9/27
上海百金化工集团股份有限公司,2019/9/27
江苏中信博新能源科技股份有限公司,2019/9/27
苍穹数码技术股份有限公司,2019/9/27
红蚂蚁装饰股份有限公司,2019/9/27
迈拓仪表股份有限公司,2019/9/27
杭州大地海洋环保股份有限公司,2019/9/27
成都晶华光电科技股份有限公司,2019/9/27
海诺尔环保产业股份有限公司,2019/9/27
新乡市瑞丰新材料股份有限公司,2019/10/11
江苏伟康洁婧医疗器械股份有限公司,2019/10/11
广东展翠食品股份有限公司,2019/10/16
同策房产咨询股份有限公司,2019/10/25
国金黄金股份有限公司,2019/10/25
广东华冠新型材料股份有限公司,2019/10/25
威海百合生物技术股份有限公司,2019/10/25
大成科创基础建设股份有限公司,2019/10/25
深圳市光大激光科技股份有限公司,2019/10/25
北洋出版传媒股份有限公司,2019/11/13
浙江车头制药股份有限公司,2019/11/13
安徽扬子地板股份有限公司,2019/12/4
淄博鲁华泓锦新材料股份有限公司,2019/12/4
上海梅思泰克环境股份有限公司,2019/12/27
广东凯金新能源科技股份有限公司,2019/12/27
佳农食品控股(集团)股份有限公司,2019/12/27
溜溜果园集团股份有限公司,2019/12/27
倍杰特集团股份有限公司,2019/12/27
浙江开元物业管理股份有限公司,2019/12/31
华冠新型材料股份有限公司,2019/10/25
北京高威科电气技术股份有限公司,2018/1/10
扬州曙光电缆股份有限公司,2018/1/10
云南健之佳健康连锁店股份有限公司,2018/1/10
浙江浙矿重工股份有限公司,2018/1/10
江苏金太阳纺织科技股份有限公司,2018/1/10
江苏天智互联科技股份有限公司,2018/1/10
武汉新华扬生物股份有限公司,2018/1/10
广东天禾农资股份有限公司,2018/1/22
勋龙智造精密应用材料(苏州)股份有限公司,2018/1/22
山东泰和水处理科技股份有限公司,2018/1/31
杭华油墨股份有限公司,2018/1/30
深圳市宝鸿精密模具股份有限公司,2018/1/31
浙江优创材料科技股份有限公司,2018/2/13
广东骏丰频谱股份有限公司,2018/2/13
郑州凯雪冷链股份有限公司,2018/2/13
深圳迈瑞生物医疗电子股份有限公司,2018/2/13
宁波博汇化工科技股份有限公司,2018/2/13
安徽太平洋电缆股份有限公司,2018/2/13
广州洁特生物过滤股份有限公司,2018/2/13
湖北鄂中生态工程股份有限公司,2018/2/13
上海绿岸网络科技股份有限公司,2018/2/13
武汉奇致激光技术股份有限公司,2018/2/13
安徽大地熊新材料股份有限公司,2018/2/28
浙江企朋网络技术股份有限公司,2018/2/28
天津天堰科技股份有限公司,2018/2/28
上海美迪西生物医药股份有限公司,2018/2/28
湖南湘佳牧业股份有限公司,2018/2/28
广东奥迪威传感科技股份有限公司,2018/2/28
徽商银行股份有限公司,2018/3/5
新疆宝地矿业股份有限公司,2018/3/5
尚格会展股份有限公司,2018/3/5
南岳电控(衡阳)工业技术股份有限公司,2018/3/5
杭州福膜新材料科技股份有限公司,2018/3/5
湖南五方教育科技股份有限公司,2018/3/5
北京盈建科软件股份有限公司,2018/3/5
明光浩淼安防科技股份有限公司,2018/3/5
火星人厨具股份有限公司,2018/3/5
南京肯特复合材料股份有限公司,2018/3/5
上海能辉科技股份有限公司,2018/3/5
美瑞新材料股份有限公司,2018/3/9
华视娱乐投资集团股份有限公司,2018/3/9
浙锚科技股份有限公司,2018/3/9
郑州捷安高科股份有限公司,2018/3/9
东瑞食品集团股份有限公司,2018/3/9
湖南华纳大药厂股份有限公司,2018/3/14
广东一力集团制药股份有限公司,2018/3/14
苏州禾昌聚合材料股份有限公司,2018/3/15
深圳万达杰环保新材料股份有限公司,2018/3/22
深圳市驱动人生科技股份有限公司,2018/3/22
深圳玛丝菲尔时装股份有限公司,2018/3/22
仙乐健康科技股份有限公司,2018/3/22
长虹塑料集团英派瑞塑料股份有限公司,2018/3/22
明珠电气股份有限公司,2018/3/22
新丽传媒股份有限公司,2018/3/22
苏州未来电器股份有限公司,2018/3/22
杭州中艺实业股份有限公司,2018/3/22
宁波前程家居股份有限公司,2018/3/22
浙江外事旅游股份有限公司,2018/3/22
浙江恒威电池股份有限公司,2018/3/22
广州多益网络股份有限公司,2018/3/27
阳光中科(福建)能源股份有限公司,2018/3/27
气派科技股份有限公司,2018/3/28
哈尔滨银行股份有限公司,2018/3/28
上海文华财经资讯股份有限公司,2018/3/28
广州九毛九餐饮连锁股份有限公司,2018/3/28
上海凯鑫分离技术股份有限公司,2018/3/28
哈尔滨市科佳通用机电股份有限公司,2018/3/28
迈得医疗工业设备股份有限公司,2018/3/28
合肥立方制药股份有限公司,2018/3/30
大连华信计算机技术股份有限公司,2018/3/30
中金辐照股份有限公司,2018/3/30
力同科技股份有限公司,2018/3/30
上海艾录包装股份有限公司,2018/3/30
南京微创医学科技股份有限公司,2018/3/30
安徽省安泰科技股份有限公司,2018/3/30
深圳市有方科技股份有限公司,2018/3/30
乐寿农牧集团股份有限公司,2018/3/30
深圳市杰普特光电股份有限公司,2018/3/30
浙江锦盛新材料股份有限公司,2018/3/30
上海海融食品科技股份有限公司,2018/3/30
北京开心麻花娱乐文化传媒股份有限公司,2018/3/30
爱美客技术发展股份有限公司,2018/3/30
同信通信股份有限公司,2018/3/30
镇江泛沃新能汽车技术股份有限公司,2018/3/30
深圳市泛海三江电子股份有限公司,2018/3/30
深圳震有科技股份有限公司,2018/3/30
无锡芯朋微电子股份有限公司,2018/3/30
安徽宁国晨光精工股份有限公司,2018/3/30
广东聚石化学股份有限公司,2018/3/30
深圳市翔丰华科技股份有限公司,2018/3/30
北京赢康科技股份有限公司,2018/3/30
上海鸿辉光通科技股份有限公司,2018/3/30
北京声迅电子股份有限公司,2018/3/30
深圳市杰美特科技股份有限公司,2018/3/30
安徽天大环保新材料股份有限公司,2018/3/30
深圳市鼎泰智能装备股份有限公司,2018/3/30
广州建通测绘地理信息技术股份有限公司,2018/3/30
广东飞轮科技股份有限公司,2018/3/30
广东中迅农科股份有限公司,2018/3/30
江苏华绿生物科技股份有限公司,2018/3/30
江苏联瑞新材料股份有限公司,2018/3/30
陕西嘉禾生物科技股份有限公司,2018/3/30
建科机械(天津)股份有限公司,2018/3/30
北京合力亿捷科技股份有限公司,2018/3/30
深圳市美之高科技股份有限公司,2018/4/12
河南平原智能装备股份有限公司,2018/4/12
吉林出版集团股份有限公司,2018/4/12
北京硕人时代科技股份有限公司,2018/4/12
深圳市三顺纳米新材料股份有限公司,2018/4/12
和力辰光国际文化传媒(北京)股份有限公司,2018/4/13
普陀山旅游发展股份有限公司,2018/4/19
普联软件股份有限公司,2018/4/20
浙江无端科技股份有限公司,2018/4/20
山西紫林醋业股份有限公司,2018/4/26
浙江正特股份有限公司,2018/4/27
北京中科海讯数字科技股份有限公司,2018/4/27
昆山国力电子科技股份有限公司,2018/4/27
上海巴兰仕汽车检测设备股份有限公司,2018/4/27
上海阿莱德实业股份有限公司,2018/4/27
深圳市北鼎晶辉科技股份有限公司,2018/4/27
深圳市达特照明股份有限公司,2018/5/9
杭州山科智能科技股份有限公司,2018/5/9
金瑞期货股份有限公司,2018/5/9
申龙电梯股份有限公司,2018/5/17
锦州康泰润滑油添加剂股份有限公司,2018/5/17
盛利维尔(中国)新材料技术股份有限公司,2018/5/17
深圳市双赢伟业科技股份有限公司,2018/5/17
杭州宏杉科技股份有限公司,2018/5/17
若宇检具股份有限公司,2018/5/28
山东新巨丰科技包装股份有限公司,2018/5/29
温州市冠盛汽车零部件集团股份有限公司,2018/6/12
中红普林医疗用品股份有限公司,2018/6/12
广州若羽臣科技股份有限公司,2018/6/12
常州市钱璟康复股份有限公司,2018/6/20
浙江泰坦股份有限公司,2018/6/20
上海行动教育科技股份有限公司,2018/6/20
北京思源兴业房地产服务集团股份有限公司,2018/6/20
武汉智迅创源科技发展股份有限公司,2018/6/20
中国船舶重工集团海装风电股份有限公司,2018/6/20
长春普华制药股份有限公司,2018/6/20
北京交大思诺科技股份有限公司,2018/6/20
凯龙高科技股份有限公司,2018/6/20
佳化化学股份有限公司,2018/7/26
深圳市菲菱科思通信技术股份有限公司,2018/7/26
北京华如科技股份有限公司,2018/7/26
北京友缘在线网络科技股份有限公司,2018/8/22
江苏新瀚新材料股份有限公司,2018/8/22
武汉亿童文教股份有限公司,2018/8/22
赛克思液压科技股份有限公司,2018/8/22
贵州安达科技能源股份有限公司,2018/8/22
威海市商业银行股份有限公司,2018/8/28
阜阳大可新材料股份有限公司,2018/8/28
兰考瑞华环保电力股份有限公司,2018/8/28
浙江华朔科技股份有限公司,2018/8/28
长威信息科技发展股份有限公司,2018/9/21
上海阿波罗机械股份有限公司,2018/9/29
北京聚利科技股份有限公司,2018/9/29
西安华通新能源股份有限公司,2018/9/29
宁波球冠电缆股份有限公司,2018/9/29
深圳通业科技股份有限公司,2018/9/29
天津锐新昌轻合金股份有限公司,2018/9/29
长华化学科技股份有限公司,2018/9/29
苏州蜗牛数字科技股份有限公司,2018/10/10
上海新农饲料股份有限公司,2018/10/10
苏州瑞可达连接系统股份有限公司,2018/10/10
中国华融资产管理股份有限公司,2018/10/10
江苏通灵电器股份有限公司,2018/10/10
东莞铭丰包装股份有限公司,2018/10/10
上海波克城市网络科技股份有限公司,2018/10/11
广东德兴食品股份有限公司,2018/10/11
江苏荣成环保科技股份有限公司,2018/10/11
新疆慧尔农业集团股份有限公司,2018/10/11
无锡威峰科技股份有限公司,2018/10/11
首创置业股份有限公司,2018/10/11
杭州天丰电源股份有限公司,2018/10/11
杭州铁集货运股份有限公司,2018/10/11
