机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
艾艾精密工业输送系统(上海),预先披露更新,主板企业,上海,长江证券承销保荐有限公司,王海涛&sbquo;张新杨,北京市海润律师事务所,吴团结&sbquo;姚方方,大华会计师事务所(特殊普通合伙),王书阁&sbquo;李东昕,是,橡胶和塑料制品业,2017/1/12,80365240,AN201705100569516782,aajmgyssxtsh,https://notice.eastmoney.com/pdffile/web/H2_AN201705100569516782_1.pdf
安福县海能实业,已反馈,主板企业,江西,中信证券股份有限公司,刘顺明&sbquo;孙洋,北京市君合律师事务所,张建伟&sbquo;胡义锦,瑞华会计师事务所(特殊普通合伙),杨海涛&sbquo;黄跃森,是,计算机、通信和其他电子设备制造业,2017/1/12,80431588,AN201908041342309601,afxhnsy,https://notice.eastmoney.com/pdffile/web/H2_AN201908041342309601_1.pdf
安徽长城军工,已通过发审会,主板企业,安徽,东海证券股份有限公司,戴洛飞&sbquo;郭婧,北京市天元律师事务所,蔡厚明&sbquo;霍雨佳,北京中证天通会计师事务所有限公司,陈少明&sbquo;赵权,是,制造业,2017/1/12,80357616,AN201807231169314578,ahccjg,https://notice.eastmoney.com/pdffile/web/H2_AN201807231169314578_1.pdf
安徽华恒生物科技,已受理,主板企业,安徽,中泰证券股份有限公司,李虎&sbquo;孙晓刚,安徽天禾律师事务所,祝传颂&sbquo;程帆,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;熊延森,否,化学原料和化学制品制造业,2017/1/12,80373826,AN202101281455490540,ahhhswkj,https://notice.eastmoney.com/pdffile/web/H2_AN202101281455490540_1.pdf
安徽华业香料,已反馈,中小板,安徽,国元证券股份有限公司,詹凌颖&sbquo;徐燕,北京市天元律师事务所,孔晓燕&sbquo;蔡厚明&sbquo;吴光洋,大华会计师事务所(特殊普通合伙),吕勇军&sbquo;吴琳,是,化学原料和化学品制造业,2017/1/12,80511088,AN202009091409851212,ahhyxl,https://notice.eastmoney.com/pdffile/web/H2_AN202009091409851212_1.pdf
安徽省交通规划设计研究总院,已反馈,主板企业,安徽,国元证券股份有限公司,孔晶晶&sbquo;佘超,安徽天禾律师事务所,蒋敏&sbquo;张晓健&sbquo;王炜,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;王书彦,是,专业技术服务业,2017/1/12,80115571,AN201707180727296517,ahsjtghsjyjzy,https://notice.eastmoney.com/pdffile/web/H2_AN201707180727296517_1.pdf
安徽扬子地板,已受理,中小板,安徽,国元证券股份有限公司,魏韫新&sbquo;王钢,北京金诚同达律师事务所,刘胤宏&sbquo;李红&sbquo;郑素文,华普天健会计师事务所(特殊普通合伙),张全心&sbquo;施琪璋&sbquo;朱浩,否,木材加工和木、竹、藤、棕、草制品业,2017/1/12,80203593,AN201712221069467023,ahyzdb,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069467023_1.pdf
安徽众源新材料,已受理,主板企业,安徽,国元证券股份有限公司,武军&sbquo;贾世宝,安徽天禾律师事务所,祝传颂&sbquo;陈明,华普天健会计师事务所(特殊普通合伙),张婕&sbquo;刘勇&sbquo;姚海士,否,有色金属冶炼和压延加工业,2017/1/12,80417983,AN201708220820696271,ahzyxcl,https://notice.eastmoney.com/pdffile/web/H2_AN201708220820696271_1.pdf
爱柯迪,已受理,主板企业,宁波,国金证券股份有限公司,吴小鸣&sbquo;谭军,通力律师事务所,翁晓健&sbquo;李仲英,瑞华会计师事务所(特殊普通合伙),杨峰安&sbquo;任明果,否,汽车制造业,2017/1/12,80452535,AN201711051015446277,akd,https://notice.eastmoney.com/pdffile/web/H2_AN201711051015446277_1.pdf
奥士康科技,已受理,中小板,湖南,国信证券股份有限公司,魏安胜&sbquo;王新仪,北京市金杜律师事务所,潘渝嘉&sbquo;王建学,天职国际会计师事务所(特殊普通合伙),陈志刚&sbquo;王守军&sbquo;郭龙,否,计算机、通信和其他电子设备制造业,2017/1/12,80542763,AN201711201053206904,askkj,https://notice.eastmoney.com/pdffile/web/H2_AN201711201053206904_1.pdf
安佑生物科技集团,中止审查,主板企业,江苏,西南证券股份有限公司,赵炜&sbquo;李高超,北京市天元律师事务所,马少辉&sbquo;雷富阳,大华会计师事务所(特殊普通合伙),邱俊洲&sbquo;曾星,否,农副食品加工业,2017/1/12,80491316,AN201801160012983670,ayswkjjt,https://notice.eastmoney.com/pdffile/web/H2_AN201801160012983670_1.pdf
安正时尚集团,已通过发审会,主板企业,浙江,中信证券股份有限公司,庄玲峰&sbquo;李永柱,北京大成律师事务所,王汉齐&sbquo;龚丽艳&sbquo;范建红&sbquo;王恩顺,致同会计师事务所(特殊普通合伙),闫钢军&sbquo;杨海固,是,纺织服装、服饰业,2017/1/12,80401346,AN201701230287989107,azssjt,https://notice.eastmoney.com/pdffile/web/H2_AN201701230287989107_1.pdf
北大青鸟环宇消防设备,预先披露更新,中小板,河北,广发证券股份有限公司,陈德兵&sbquo;刘旭阳,北京市中咨律师事务所,蒋红毅&sbquo;彭亚峰,瑞华会计师事务所(特殊普通合伙),徐超玉&sbquo;李建长,是,计算机、通信和其他电子设备制造业,2017/1/12,80069208,AN201907281341526272,bdqnhyxfsb,https://notice.eastmoney.com/pdffile/web/H2_AN201907281341526272_1.pdf
北京高威科电气技术,已反馈,主板企业,北京,英大证券有限责任公司,万炎华&sbquo;杜承彪,北京市环球律师事务所,强高厚&sbquo;刘劲容,信永中和会计师事务所(特殊普通合伙),张克东&sbquo;陈军,是,电气机械和器材制造业,2017/1/12,80195266,AN201712291071564027,bjgwkdqjs,https://notice.eastmoney.com/pdffile/web/H2_AN201712291071564027_1.pdf
北京海量数据技术,已通过发审会,主板企业,北京,国海证券股份有限公司,刘皓&sbquo;李金海,北京市通商律师事务所,舒知堂&sbquo;张晓彤,致同会计师事务所(特殊普通合伙),李惠琦&sbquo;傅智勇,是,软件和信息技术服务业,2017/1/12,80422703,AN201702200354248098,bjhlsjjs,https://notice.eastmoney.com/pdffile/web/H2_AN201702200354248098_1.pdf
北京华远意通热力科技,已受理,中小板,北京,招商证券股份有限公司,周晋峰&sbquo;陈佳,北京德恒律师事务所,杨继红&sbquo;杨兴辉,信永中和会计师事务所(特殊普通合伙),叶韶勋&sbquo;宗承勇,是,电力、热力生产和供应业,2017/1/12,80389772,AN201708140799565594,bjhyytrlkj,https://notice.eastmoney.com/pdffile/web/H2_AN201708140799565594_1.pdf
北京建工环境修复,中止审查,主板企业,北京,中信证券股份有限公司,黄江宁&sbquo;马滨,北京市浩天信和律师事务所,陈伟勇&sbquo;邱梅,致同会计师事务所(特殊普通合伙),曹阳&sbquo;高天琪,是,生态保护和环境治理业,2017/1/12,80205077,AN202004171378193524,bjjghjxf,https://notice.eastmoney.com/pdffile/web/H2_AN202004171378193524_1.pdf
倍加洁集团,已受理,主板企业,江苏,广发证券股份有限公司,顾培培&sbquo;吴广斌,国浩律师(上海)事务所,宣伟华&sbquo;孙芳尘,立信会计师事务所(特殊普通合伙),杜志强&sbquo;吴文俊,否,其他制造业,2017/1/12,80608165,AN201802061088284592,bjjjt,https://notice.eastmoney.com/pdffile/web/H2_AN201802061088284592_1.pdf
北京聚利科技,已受理,中小板,北京,东吴证券股份有限公司,庞家兴&sbquo;尹鹏,北京大成律师事务所,平云旺&sbquo;高雯&sbquo;魏星&sbquo;周华,立信会计师事务所(特殊普通合伙),陈勇波&sbquo;王娜,否,计算机、通信和其他电子设备制造业,2017/1/12,80319798,AN201710130950641057,bjjlkj,https://notice.eastmoney.com/pdffile/web/H2_AN201710130950641057_1.pdf
北京康辰药业,已受理,主板企业,北京,广发证券股份有限公司,胡涛&sbquo;林焕伟,上海市方达律师事务所,蒋雪雁&sbquo;肖晋卿,广东正中珠江会计师事务所(特殊普通合伙),熊永忠&sbquo;杨新春,否,医药制造业,2017/1/12,80451660,AN201808121177495402,bjkcyy,https://notice.eastmoney.com/pdffile/web/H2_AN201808121177495402_1.pdf
